date,close,start,high,low,volume,transactionPrice,capitalization
2021-12-21,78100,77900,78300,77500,14245298,1110660000000.0,466240000000000.0
2021-12-20,77100,77600,77800,76800,11264375,869972000000.0,460270000000000.0
2021-12-17,78000,76800,78000,76800,13108479,1016850000000.0,465643000000000.0
2021-12-16,77800,78500,78500,77400,11996128,934244000000.0,464449000000000.0
2021-12-15,77600,76400,77600,76300,9584939,738592000000.0,463255000000000.0
2021-12-14,77000,76500,77200,76200,10976660,841447000000.0,459673000000000.0
2021-12-13,76800,77200,78300,76500,15038750,1163290000000.0,458479000000000.0
2021-12-10,76900,77400,77600,76800,9155219,705966000000.0,459076000000000.0
2021-12-09,78200,77400,78200,77000,21604528,1681180000000.0,466837000000000.0
2021-12-08,77400,78300,78600,77100,21558340,1662980000000.0,462061000000000.0
2021-12-07,77400,76100,77700,75600,19232453,1477890000000.0,462061000000000.0
2021-12-06,76300,75100,76700,74900,16391250,1245310000000.0,455494000000000.0
2021-12-03,75600,75600,76000,74100,18330240,1375860000000.0,451316000000000.0
2021-12-02,75800,73900,75800,73800,23652940,1778780000000.0,452510000000000.0
2021-12-01,74400,72000,74800,71600,21954856,1610880000000.0,444152000000000.0
2021-11-30,71300,73200,73900,70500,30364841,2183680000000.0,425645000000000.0
2021-11-29,72300,71700,73000,71400,16682559,1206610000000.0,431615000000000.0
2021-11-26,72300,73500,74100,72000,13002242,944378000000.0,431615000000000.0
2021-11-25,73700,75100,75100,73600,12559258,929571000000.0,439973000000000.0
2021-11-24,74800,76000,76200,74100,15652305,1174200000000.0,446540000000000.0
2021-11-23,75300,76000,76000,74500,22029195,1656720000000.0,449525000000000.0
2021-11-22,74900,73300,75200,73000,27506623,2047230000000.0,447137000000000.0
